artist,song,fear,anger,anticip,trust,surprise,sadness,disgust,joy
Madonna,I Don't Give A,0.13402061855670103,0.08247422680412371,0.09278350515463918,0.29896907216494845,0.061855670103092786,0.18556701030927836,0.061855670103092786,0.08247422680412371
Madonna,I'm A Sinner,0.20625,0.19375,0.025,0.10625,0.01875,0.2,0.1875,0.0625
Madonna,Love Spent(Deluxe Edition Bonus Track),0.06060606060606061,0.10606060606060606,0.09090909090909091,0.26515151515151514,0.09848484848484848,0.10606060606060606,0.015151515151515152,0.25757575757575757
Madonna,Masterpiece,0,0.027777777777777776,0.08333333333333333,0.3611111111111111,0.027777777777777776,0.05555555555555555,0,0.4444444444444444
Madonna,Falling Free,0.10526315789473684,0.10526315789473684,0.12280701754385964,0.12280701754385964,0.10526315789473684,0.22807017543859648,0.08771929824561403,0.12280701754385964
Madonna,Beautiful Killer(Deluxe Edition Bonus Track),0.1323529411764706,0.08823529411764706,0.11764705882352941,0.20588235294117646,0.08823529411764706,0.04411764705882353,0.04411764705882353,0.27941176470588236
Madonna,I Fucked Up(Deluxe Edition Bonus Track),0.21621621621621623,0.16216216216216217,0.08108108108108109,0.02702702702702703,0.05405405405405406,0.2702702702702703,0.10810810810810811,0.08108108108108109
Madonna,B-Day Song(Deluxe Edition Bonus Track),0.007692307692307693,0.007692307692307693,0.3230769230769231,0.19230769230769232,0.13076923076923078,0.046153846153846156,0.007692307692307693,0.2846153846153846
Madonna,Best Friend(Deluxe Edition Bonus Track),0.061068702290076333,0.10687022900763359,0.10687022900763359,0.183206106870229,0.09923664122137404,0.17557251908396945,0.11450381679389313,0.15267175572519084
Madonna,Give Me All Your Luvin' (Party Rock Remix)(Deluxe Edition Bonus Track),0.014705882352941176,0.014705882352941176,0.10294117647058823,0.4411764705882353,0.014705882352941176,0,0,0.4117647058823529
Madonna,Living For Love,0.1134020618556701,0.061855670103092786,0.041237113402061855,0.31958762886597936,0.061855670103092786,0.07216494845360824,0.061855670103092786,0.26804123711340205
Madonna,Devil Pray,0.17699115044247787,0.10619469026548672,0.13274336283185842,0.11504424778761062,0.04424778761061947,0.19469026548672566,0.10619469026548672,0.12389380530973451
Madonna,Ghosttown,0.16666666666666666,0.09259259259259259,0.018518518518518517,0.09259259259259259,0.07407407407407407,0.4444444444444444,0.09259259259259259,0.018518518518518517
Madonna,Unapologetic Bitch,0.1,0.12352941176470589,0.1,0.22941176470588234,0.06470588235294118,0.10588235294117647,0.11176470588235295,0.16470588235294117
Madonna,Illuminati,0.1,0.03333333333333333,0.23333333333333334,0.24444444444444444,0,0.044444444444444446,0.03333333333333333,0.3111111111111111
Madonna,Bitch I'm Madonna,0.12931034482758622,0.16379310344827586,0.12931034482758622,0.07758620689655173,0.04310344827586207,0.1896551724137931,0.16379310344827586,0.10344827586206896
Madonna,Hold Tight,0.20588235294117646,0.029411764705882353,0.20588235294117646,0.23529411764705882,0,0.11764705882352941,0.029411764705882353,0.17647058823529413
Madonna,Joan Of Arc,0.16981132075471697,0.1509433962264151,0.05660377358490566,0.07547169811320754,0.1320754716981132,0.24528301886792453,0.1320754716981132,0.03773584905660377
Madonna,Iconic,0.17699115044247787,0.10619469026548672,0.13274336283185842,0.20353982300884957,0.09734513274336283,0.09734513274336283,0.04424778761061947,0.1415929203539823
Madonna,HeartBreakCity,0.08571428571428572,0.08571428571428572,0.14285714285714285,0.17142857142857143,0.05714285714285714,0.2,0.08571428571428572,0.17142857142857143
Madonna,Body Shop,0.20454545454545456,0.11363636363636363,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.18181818181818182
Madonna,Holy Water,0.03910614525139665,0.055865921787709494,0.07262569832402235,0.40782122905027934,0.0670391061452514,0.0446927374301676,0.03910614525139665,0.2737430167597765
Madonna,Inside Out,0.08264462809917356,0.049586776859504134,0.04132231404958678,0.34710743801652894,0.03305785123966942,0.09090909090909091,0.049586776859504134,0.30578512396694213
Madonna,Wash All Over Me,0.1935483870967742,0.0967741935483871,0.1935483870967742,0.1935483870967742,0.03225806451612903,0.0967741935483871,0.03225806451612903,0.16129032258064516
Madonna,Best Night(Deluxe Edition Bonus Track),0.09278350515463918,0.09278350515463918,0.12371134020618557,0.16494845360824742,0.14432989690721648,0.13402061855670103,0.10309278350515463,0.14432989690721648
Madonna,Veni Vedi Vici(Deluxe Edition Bonus Track),0.16822429906542055,0.102803738317757,0.2336448598130841,0.11214953271028037,0.06542056074766354,0.14953271028037382,0.06542056074766354,0.102803738317757
Madonna,S.E.X.(Deluxe Edition Bonus Track),0.15503875968992248,0.06976744186046512,0.21705426356589147,0.2248062015503876,0.046511627906976744,0.06976744186046512,0.03875968992248062,0.17829457364341086
Madonna,Messiah(Deluxe Edition Bonus Track),0,0,0.13793103448275862,0.41379310344827586,0.06896551724137931,0.10344827586206896,0,0.27586206896551724
Madonna,Rebel Heart(Deluxe Edition Bonus Track),0.16326530612244897,0.16326530612244897,0.1836734693877551,0.20408163265306123,0,0.12244897959183673,0.04081632653061224,0.12244897959183673
Madonna,Beautiful Scars(Super Deluxe Edition Bonus Track),0.05172413793103448,0.034482758620689655,0.13793103448275862,0.1724137931034483,0.05172413793103448,0.15517241379310345,0.05172413793103448,0.3448275862068966
Madonna,Borrowed Time(Super Deluxe Edition Bonus Track),0.12903225806451613,0.04838709677419355,0.3225806451612903,0.1935483870967742,0.08064516129032258,0.06451612903225806,0.03225806451612903,0.12903225806451613
Madonna,Addicted,0.10638297872340426,0.06382978723404255,0.23404255319148937,0.14893617021276595,0.10638297872340426,0.23404255319148937,0.0425531914893617,0.06382978723404255
Madonna,Graffiti Heart(Super Deluxe Edition Bonus Track),0.23214285714285715,0.08928571428571429,0.017857142857142856,0.23214285714285715,0.017857142857142856,0.19642857142857142,0.07142857142857142,0.14285714285714285
Madonna,Auto-Tune Baby(Media Markt Bonus Track),0,0.05128205128205128,0.10256410256410256,0.358974358974359,0.02564102564102564,0.1282051282051282,0.05128205128205128,0.28205128205128205
Madonna,Dark Ballet,0.1774193548387097,0.12903225806451613,0.08064516129032258,0.0967741935483871,0.016129032258064516,0.1935483870967742,0.12903225806451613,0.1774193548387097
Madonna,God Control,0.14393939393939395,0.16666666666666666,0.06818181818181818,0.15151515151515152,0.12121212121212122,0.09090909090909091,0.14393939393939395,0.11363636363636363
Madonna,Future,0.06557377049180328,0.04918032786885246,0.4918032786885246,0.09836065573770492,0.04918032786885246,0.09836065573770492,0.03278688524590164,0.11475409836065574
Madonna,Batuka,0.05063291139240506,0.06329113924050633,0.45569620253164556,0.1518987341772152,0.06329113924050633,0.0759493670886076,0.05063291139240506,0.08860759493670886
Madonna,Killers Who Are Partying,0.16,0.12,0.16,0.08,0.2,0.08,0.08,0.12
Madonna,Crave,0.2923076923076923,0.046153846153846156,0.2153846153846154,0.2,0.015384615384615385,0.07692307692307693,0.06153846153846154,0.09230769230769231
Madonna,Crazy,0.12121212121212122,0.11363636363636363,0.14393939393939395,0.11363636363636363,0.11363636363636363,0.18181818181818182,0.08333333333333333,0.12878787878787878
Madonna,Come Alive,0.07865168539325842,0.02247191011235955,0.5617977528089888,0.14606741573033707,0.02247191011235955,0.10112359550561797,0,0.06741573033707865
Madonna,Extreme Occident(Deluxe Edition Bonus Track),0.16666666666666666,0.16666666666666666,0.06944444444444445,0.08333333333333333,0.1527777777777778,0.16666666666666666,0.125,0.06944444444444445
Madonna,I Don't Search I Find,0.03508771929824561,0.017543859649122806,0.17543859649122806,0.3157894736842105,0.12280701754385964,0.017543859649122806,0.12280701754385964,0.19298245614035087
Madonna,Looking For Mercy(Deluxe Edition Bonus Track),0.09259259259259259,0.037037037037037035,0.12962962962962962,0.2777777777777778,0.018518518518518517,0.14814814814814814,0.037037037037037035,0.25925925925925924
Madonna,I Rise,0.06578947368421052,0.06578947368421052,0.3157894736842105,0.06578947368421052,0.06578947368421052,0.07894736842105263,0.02631578947368421,0.3157894736842105
Madonna,Funana(Box Set Bonus Track),0.03333333333333333,0,0.16666666666666666,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.4
