artist,fear,anger,anticip,trust,surprise,sadness,disgust,joy
Barbra Streisand,0.08809557405578289,0.06631861154226047,0.17383942429801044,0.22284934857250366,0.09129391844221815,0.10869667466252764,0.04736371760500447,0.2015427308216923
Bastille,0.1277410372432997,0.10952546699153035,0.1305255830142708,0.17658661097575123,0.09803921568627451,0.14990138067061143,0.0846966005337046,0.12298410488455737
Bob Dylan,0.1252275632335283,0.09489871015222527,0.16016578223651082,0.19456172289576634,0.07994732153232366,0.12305844985862029,0.06991517217337413,0.15222527791765117
Celine Dion,0.09077060931899641,0.06317204301075269,0.14695340501792115,0.25367383512544806,0.08091397849462366,0.10340501792114695,0.044623655913978495,0.2164874551971326
Depeche Mode,0.12436386768447837,0.09223918575063614,0.16682569974554706,0.18352417302798982,0.08126590330788803,0.13486005089058525,0.07347328244274809,0.14344783715012724
Ed Sheeran,0.10854517996476215,0.09331739239869116,0.13598036748049333,0.21193053108482254,0.07953687389881701,0.12773722627737227,0.06651145230304556,0.17644097659199598
Elvis Presley,0.10112644427541743,0.07446847042631026,0.1566518164366692,0.21145278713463,0.08424789018073817,0.1132963888587055,0.06088594298960484,0.1978702596979246
Eminem,0.14050230048085238,0.15133012765074202,0.11402082540561109,0.16527138755318782,0.07396132424672225,0.131334970768326,0.1092123015186633,0.11436676237589512
Guns N' Roses,0.11188705025049339,0.10323364202216487,0.14589342644603007,0.19204493699711553,0.08046151510551086,0.13602550478214664,0.0848641263093973,0.14558979808714134
Justin Timberlake,0.08187400500341142,0.07789401864907891,0.14100523083920855,0.2442574482601774,0.07948601319081192,0.10666363429611099,0.058448942460768705,0.2103707073004321
Labrinth,0.10544452101998622,0.09958649207443143,0.1633356305995865,0.20709855272226052,0.09993108201240523,0.09751895244658856,0.06581667815299794,0.16126809097174363
Lorde,0.10694006309148266,0.09779179810725552,0.14889589905362777,0.2192429022082019,0.08296529968454258,0.11041009463722397,0.05962145110410095,0.17413249211356466
Madonna,0.10284860287124677,0.08441646664553236,0.1541596847968842,0.21353199583352203,0.08550337394139758,0.11294778316199447,0.06299533535618858,0.183596757393234
Maroon 5,0.09949965885831248,0.09574710029565613,0.1447577894018649,0.2032067318626336,0.08096429383670685,0.13986809188082783,0.07129861269047078,0.1646577211735274
Metallica,0.16709788702026734,0.1410090556274256,0.1347563605002156,0.12839586028460542,0.0788055196205261,0.1457524795170332,0.10219922380336352,0.10198361362656318
Michael Jackson,0.11549076073914087,0.0933525317974562,0.1324094072474202,0.2078233741300696,0.07955363570914327,0.12017038636909047,0.07151427885769139,0.179685625149988
Muse,0.15037729069349623,0.11300754581386993,0.1327703916636723,0.16672655407833273,0.09019044196909809,0.15343154868846567,0.07923104563420769,0.11426518145885735
Nicki Minaj,0.12352152657309573,0.1368080744362088,0.12446774956631446,0.18490774325816117,0.07624980287020974,0.11425642643116228,0.1007727487777953,0.13901592808705251
Panic! At The Disco,0.1311743094298544,0.101102190774255,0.1446455300040822,0.1846509729214859,0.08763097020002722,0.12219349571370254,0.0778337188733161,0.15076881208327664
Paul McCartney,0.09703469216357646,0.07041798565798824,0.1713288972155824,0.2171974933781252,0.07920408295109503,0.11958136830544609,0.058014083597131595,0.18722139673105498
Post Malone,0.11556064073226545,0.1383168065090262,0.1284007119247394,0.18281210272056955,0.07106534452072209,0.12534960589880498,0.10488176964149504,0.13361301805237732
Queen,0.11496117742496234,0.08552555336655464,0.15192953992351374,0.21856530304786187,0.07555916096882605,0.1121798586162939,0.07069185305365627,0.17058755359833122
Sam Smith,0.11521992993382639,0.07687816270922537,0.14421954067730636,0.20474892954456989,0.09575710393149085,0.12787076683534448,0.06558972362787077,0.1697158427403659
Selena Gomez,0.09587757651467832,0.07667083073079325,0.13991255465334165,0.22017489069331667,0.08650843222985634,0.12179887570268583,0.06339787632729545,0.19565896314803247
The Beatles,0.08248666497332995,0.06946913893827787,0.15201930403860808,0.2230759461518923,0.08578867157734316,0.11817373634747269,0.061849123698247396,0.20713741427482854
Usher,0.08650109815847272,0.08683899307315425,0.15537534493439206,0.22368643351917553,0.0870642563496086,0.11285690150363237,0.061722137748493555,0.1859548347130709
